,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
31571,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Time Fuse
31572,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31573,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31574,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31575,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31576,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31577,Bombing/Explosion,No,No,No,Unknown,No,No,Explosives,Pipe Bomb
31578,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Letter Bomb
31579,Hijacking,No,Yes,No,No,No,No,Unknown,Unknown
31580,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31581,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31582,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31583,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31584,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31585,Unarmed Assault,No,No,No,No,No,Yes,Other,Unknown
31586,Unarmed Assault,No,No,No,No,No,No,Chemical,Unknown
31587,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
31588,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31589,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31590,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31591,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
31592,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31593,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31594,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31595,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31596,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31597,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31598,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31599,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
31600,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Arson/Fire
31601,Assassination,Yes,Yes,No,No,No,No,Unknown,Unknown
31602,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Unknown Explosive Type
31603,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31604,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31605,Assassination,Yes,No,No,Yes,No,No,Unknown,Unknown
31606,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31607,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31608,Armed Assault,No,No,No,Yes,No,No,Explosives,Grenade
31609,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31610,Armed Assault,Yes,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31611,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
31612,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31613,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31614,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31615,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31616,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31617,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Arson/Fire
31618,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Arson/Fire
31619,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31620,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Unknown Gun Type
31621,Assassination,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31622,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
31623,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
31624,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31625,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31626,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Unknown Gun Type
31627,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
31628,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
31629,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
31630,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31631,Unknown,No,No,No,No,No,No,Unknown,Unknown
31632,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31633,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31634,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Firearms,Unknown Gun Type
31635,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Unknown,Unknown
31636,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31637,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31638,Armed Assault,Yes,No,No,No,No,No,Firearms,Other Gun Type
31639,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31640,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31641,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31642,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31643,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31644,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31645,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31646,Bombing/Explosion,No,No,No,No,No,No,Explosives,Pipe Bomb
31647,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31648,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31649,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Unknown Explosive Type
31650,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31651,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Unknown Explosive Type
31652,Facility/Infrastructure Attack,Yes,No,No,No,No,No,Incendiary,Arson/Fire
31653,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
31654,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31655,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31656,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31657,Facility/Infrastructure Attack,No,No,No,No,No,No,Incendiary,Gasoline or Alcohol
31658,Hostage Taking (Barricade Incident),Yes,Yes,No,Yes,No,No,Unknown,Unknown
31659,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31660,Bombing/Explosion,No,No,No,Yes,No,Yes,Explosives,Grenade
31661,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Pressure Trigger
31662,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31663,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31664,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Unknown Explosive Type
31665,Bombing/Explosion,No,No,No,No,No,No,Explosives,Unknown Explosive Type
31666,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
31667,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Unknown,Unknown
31668,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31669,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31670,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31671,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31672,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Unknown Explosive Type
31673,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31674,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31675,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31676,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Grenade
31677,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Rope or Other Strangling Device
31678,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31679,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31680,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31681,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Vehicle
31682,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31683,Facility/Infrastructure Attack,No,No,No,No,No,No,Incendiary,Gasoline or Alcohol
31684,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31685,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31686,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
31687,Armed Assault,Yes,Yes,No,Yes,No,No,Incendiary,Arson/Fire
31688,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31689,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31690,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
31691,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
31692,Armed Assault,Yes,No,No,Unknown,No,Yes,Firearms,Unknown Gun Type
31693,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31694,Armed Assault,Yes,No,No,No,No,Yes,Firearms,Unknown Gun Type
31695,Armed Assault,Yes,No,No,No,No,Yes,Firearms,Automatic Weapon
31696,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Unknown Explosive Type
31697,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Remote Trigger
31698,Assassination,Yes,No,No,No,No,Yes,Firearms,Unknown Gun Type
31699,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Automatic Weapon
31700,Armed Assault,Yes,No,No,Yes,No,Yes,Melee,Blunt Object
31701,Armed Assault,Yes,No,No,Yes,No,Yes,Melee,Blunt Object
31702,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31703,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31704,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31705,Unknown,Yes,No,No,Unknown,No,Yes,Unknown,Unknown
31706,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Unknown,Unknown
31707,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Other Explosive Type
31708,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31709,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Remote Trigger
31710,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Automatic Weapon
31711,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31712,Assassination,No,No,No,Yes,No,No,Explosives,Grenade
31713,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31714,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Molotov Cocktail/Petrol Bomb
31715,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
31716,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Pressure Trigger
31717,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
31718,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
31719,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
31720,Hostage Taking (Barricade Incident),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
31721,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31722,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Unknown,Unknown
31723,Armed Assault,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31724,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31725,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31726,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
31727,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31728,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31729,Bombing/Explosion,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31730,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Unknown Explosive Type
31731,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Incendiary,Gasoline or Alcohol
31732,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
31733,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31734,Assassination,No,No,No,Yes,No,No,Explosives,Land Mine
31735,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31736,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31737,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31738,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
31739,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Automatic Weapon
31740,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31741,Assassination,No,No,No,No,No,No,Explosives,Unknown Explosive Type
31742,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
31743,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Time Fuse
31744,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
31745,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31746,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31747,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31748,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
31749,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31750,Armed Assault,Yes,No,No,Unknown,No,No,Melee,Knife or Other Sharp Object
31751,Armed Assault,Yes,Yes,No,Yes,No,No,Firearms,Unknown Gun Type
31752,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31753,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31754,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31755,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31756,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31757,Armed Assault,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
31758,Bombing/Explosion,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31759,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Unknown Explosive Type
31760,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31761,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31762,Armed Assault,Yes,Yes,No,Yes,No,No,Unknown,Unknown
31763,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Vehicle
31764,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31765,Bombing/Explosion,Yes,No,No,Yes,Yes,Yes,Explosives,Vehicle
31766,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
31767,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31768,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31769,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Vehicle
31770,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31771,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31772,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Dynamite/TNT
31773,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Dynamite/TNT
31774,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
31775,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
31776,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31777,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31778,Armed Assault,Yes,Yes,Yes,Yes,No,No,Explosives,Dynamite/TNT
31779,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31780,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31781,Hostage Taking (Kidnapping),Yes,Yes,No,Yes,No,No,Firearms,Unknown Gun Type
31782,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
31783,Assassination,No,No,No,No,No,No,Firearms,Unknown Gun Type
31784,Assassination,No,No,No,Yes,No,No,Firearms,Handgun
31785,Bombing/Explosion,Yes,No,No,Yes,Yes,Yes,Explosives,Vehicle
31786,Facility/Infrastructure Attack,Yes,No,No,No,No,No,Unknown,Unknown
31787,Facility/Infrastructure Attack,Yes,No,No,No,No,No,Incendiary,Arson/Fire
31788,Armed Assault,No,No,No,No,No,No,Firearms,Unknown Gun Type
31789,Facility/Infrastructure Attack,Yes,No,No,No,No,No,Unknown,Unknown
31790,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31791,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
31792,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Vehicle
31793,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31794,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31795,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31796,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31797,Armed Assault,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
31798,Assassination,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
31799,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
31800,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31801,Hostage Taking (Barricade Incident),Yes,Yes,No,No,No,No,Unknown,Unknown
31802,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31803,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31804,Unarmed Assault,Yes,No,No,No,No,No,Melee,Blunt Object
31805,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31806,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31807,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Unknown Gun Type
31808,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Unknown Gun Type
31809,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31810,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Unknown Explosive Type
31811,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Unknown Explosive Type
31812,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31813,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31814,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31815,Bombing/Explosion,Yes,No,No,Unknown,No,Yes,Explosives,Unknown Explosive Type
31816,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
31817,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
31818,Hostage Taking (Kidnapping),Yes,Yes,Yes,Unknown,No,No,Unknown,Unknown
31819,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Pipe Bomb
31820,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Pipe Bomb
31821,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Pipe Bomb
31822,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
31823,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31824,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
31825,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
31826,Unarmed Assault,Yes,No,No,Yes,No,No,Melee,Blunt Object
31827,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
31828,Armed Assault,No,No,No,No,No,No,Firearms,Unknown Gun Type
31829,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31830,Armed Assault,Yes,No,No,No,No,Yes,Melee,Knife or Other Sharp Object
31831,Bombing/Explosion,No,No,No,Unknown,Yes,No,Explosives,Suicide (carried bodily by human being)
31832,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,Yes,Firearms,Unknown Gun Type
31833,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,Yes,Unknown,Unknown
31834,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31835,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31836,Armed Assault,Yes,No,No,No,No,Yes,Firearms,Unknown Gun Type
31837,Armed Assault,Yes,No,No,No,No,Yes,Firearms,Unknown Gun Type
31838,Assassination,Yes,No,No,Yes,No,No,Unknown,Unknown
31839,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31840,Armed Assault,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31841,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31842,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31843,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31844,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31845,Bombing/Explosion,No,No,No,No,No,No,Explosives,Time Fuse
31846,Bombing/Explosion,No,No,No,Yes,Yes,No,Explosives,Vehicle
31847,Bombing/Explosion,No,No,No,No,No,No,Explosives,Remote Trigger
31848,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31849,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31850,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
31851,Armed Assault,Yes,No,No,Yes,No,Yes,Firearms,Automatic Weapon
31852,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Time Fuse
31853,Bombing/Explosion,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31854,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31855,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31856,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31857,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31858,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31859,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31860,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31861,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
31862,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Unknown Explosive Type
31863,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Land Mine
31864,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
31865,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31866,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31867,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31868,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Firearms,Unknown Gun Type
31869,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31870,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
31871,Armed Assault,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31872,Armed Assault,Yes,No,No,No,No,No,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Unknown
31873,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
31874,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31875,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
31876,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31877,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
31878,Assassination,Yes,No,No,Yes,Yes,No,Unknown,Unknown
31879,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
31880,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Unknown Explosive Type
31881,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
31882,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
31883,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
31884,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Gasoline or Alcohol
31885,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
31886,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
31887,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
31888,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
31889,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Remote Trigger
31890,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Firearms,Unknown Gun Type
